Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
父亲写的散文诗,许飞,许飞,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.000000,,,,,,0,,,,,,2020/01/12 20:55:37.710885047,,,,,,,"一九八四年 庄稼还没收割完
女儿躺在我怀里 睡得那么甜
今晚的露天电影 没时间去看
妻子提醒我 修修缝纫机的踏板
明天我要去 邻居家再借点钱
孩子哭了一整天啊 闹着要吃饼干
蓝色的涤卡上衣 痛往心里钻
蹲在池塘边上 给了自己两拳
这是我父亲
日记里的文字
这是他的青春留下
留下来的散文诗
几十年以后 我看着泪流不止
可我的父亲已经 老得像一个影子
一九九四年
庄稼早已收割完
我的老母亲去年 离开了人间
女儿扎着马尾辫 跑进了校园
可是她最近有点孤单 瘦了一大圈
想一想未来
我老成了一堆旧纸钱
那时的女儿一定 美的很惊艳
有个爱她的男人要娶她回家
可想到这些 我却不忍看她一眼
这是我父亲
日记里的文字
这是他的生命 留下
留下来的散文诗
几十年后
我看着泪流不止
可我的父亲已经老得像一张旧报纸
旧报纸
那上面的故事 就是一辈子",,亲情,0,0,http://inews.gtimg.com/newsapp_bt/0/1673591796/641,
敢爱敢做,林子祥,林子祥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:59:36.903610944,,,,,,,,,,0,0,,
敢问路在何方,蒋大为,蒋大为,,,,,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 21:00:36.686113834,,,,,,,,,人生,0,0,,
感觉身体被掏空,上海彩虹室内合唱团,上海彩虹室内合唱团,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:29:22.340611934,,,,,,,,,,0,0,,
高级动物,窦唯,窦唯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 05:11:55.165144920,,,,,,,,,,0,,,
告白气球,周杰伦,周杰伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:45:59.243509054,,,,,,,,,爱情,0,0,,
告白之夜,Ayasa絢沙,Ayasa絢沙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 12:36:22.131983995,,,,,,,,,纯音乐/器乐,0,,,
给我一首歌的时间,周杰伦,周杰伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:40:41.105321884,,,,,,,,,,0,0,,
孤勇者,陈奕迅,陈奕迅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2022/02/06 11:19:32.032592058,,,,,,,,,,0,0,,
鼓楼,赵雷,赵雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:22:09.163711071,,,,,,,,,,0,,,
鼓诗,阎学敏,阎学敏,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 21:04:52.894389152,,,,,,,,,纯音乐/器乐,0,,https://y.gtimg.cn/music/photo_new/T002R300x300M000001qzhYS4BTr6A.jpg?max_age=2592000,
故乡的云,费翔,费翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:34:02.059213161,,,,,,,,,,0,0,,
光辉岁月,beyond,beyond,,,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 11:38:03.923712015,,,,,,,,,,0,,,
光明南大街199号,河北工程大学,河北工程大学,河北工程大学毕业歌,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 07:49:38.905433177,,,,,,,,,,0,0,http://sinastorage.com/kaoshi.edu.sina.com.cn/college_photo/50064.jpg,
光年之外,G.E.M.邓紫棋,G.E.M.邓紫棋,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:58:10.028558969,,,,,,,,,,0,,https://y.gtimg.cn/music/photo_new/T002R300x300M000001mTkmb4GJlh4.jpg?max_age=2592000,
海阔天空,beyond,beyond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:14:47.946886062,,,,,,,,,,0,,,
海市蜃楼,林子祥,林子祥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:58:05.109266996,,,,,,,,,,0,0,,
好大一棵树,"田震,那英","田震,那英",,,,,,,1990,,,,,,松山千春,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/23 01:31:13.177084922,,,,,,,,,,0,,,
好姑娘,李晓杰,李晓杰,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:36:19.658854961,,,,,,,,,爱情,0,,,
好久不见,陈奕迅,陈奕迅,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:37:43.641422986,,,,,,,,,爱情,0,,,
好日子,宋祖英,宋祖英,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/23 01:29:32.913064002,,,,,,,,,,0,,,
好想爱这个世界啊,华晨宇,华晨宇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 16:15:48.810788154,,,,,,,,,,0,0,,
